question,answer
What is the destination of the trip starting on 01/05/2023?,"London, UK"
"When did the trip to London, UK start?",01/05/2023
"How long was the trip to London, UK?",7.0 days
"What nationality was the traveler to London, UK?",American
"What type of accommodation was used in London, UK?",Hotel
"How much did the accommodation cost in London, UK?",1200 €
"What transportation was used to reach London, UK?",Flight
"What was the transportation cost to London, UK?",600 €
"What was the total budget for the trip to London, UK?",1800.0 € (Transport: 600 € + Accommodation: 1200 €)
What is the destination of the trip starting on 15/06/2023?,"Phuket, Thailand"
"When did the trip to Phuket, Thailand start?",15/06/2023
"How long was the trip to Phuket, Thailand?",5.0 days
"What nationality was the traveler to Phuket, Thailand?",Canadian
"What type of accommodation was used in Phuket, Thailand?",Resort
"How much did the accommodation cost in Phuket, Thailand?",800 €
"What transportation was used to reach Phuket, Thailand?",Flight
"What was the transportation cost to Phuket, Thailand?",500 €
"What was the total budget for the trip to Phuket, Thailand?",1300.0 € (Transport: 500 € + Accommodation: 800 €)
What is the destination of the trip starting on 01/07/2023?,"Bali, Indonesia"
"When did the trip to Bali, Indonesia start?",01/07/2023
"How long was the trip to Bali, Indonesia?",7.0 days
"What nationality was the traveler to Bali, Indonesia?",Korean
"What type of accommodation was used in Bali, Indonesia?",Villa
"How much did the accommodation cost in Bali, Indonesia?",1000 €
"What transportation was used to reach Bali, Indonesia?",Flight
"What was the transportation cost to Bali, Indonesia?",700 €
"What was the total budget for the trip to Bali, Indonesia?",1700.0 € (Transport: 700 € + Accommodation: 1000 €)
What is the destination of the trip starting on 15/08/2023?,"New York, USA"
"When did the trip to New York, USA start?",15/08/2023
"How long was the trip to New York, USA?",14.0 days
"What nationality was the traveler to New York, USA?",British
"What type of accommodation was used in New York, USA?",Hotel
"How much did the accommodation cost in New York, USA?",2000 €
"What transportation was used to reach New York, USA?",Flight
"What was the transportation cost to New York, USA?",1000 €
"What was the total budget for the trip to New York, USA?",3000.0 € (Transport: 1000 € + Accommodation: 2000 €)
What is the destination of the trip starting on 10/09/2023?,"Tokyo, Japan"
"When did the trip to Tokyo, Japan start?",10/09/2023
"How long was the trip to Tokyo, Japan?",7.0 days
"What nationality was the traveler to Tokyo, Japan?",Vietnamese
"What type of accommodation was used in Tokyo, Japan?",Airbnb
"How much did the accommodation cost in Tokyo, Japan?",700 €
"What transportation was used to reach Tokyo, Japan?",Train
"What was the transportation cost to Tokyo, Japan?",200 €
"What was the total budget for the trip to Tokyo, Japan?",900.0 € (Transport: 200 € + Accommodation: 700 €)
What is the destination of the trip starting on 05/10/2023?,"Paris, France"
"When did the trip to Paris, France start?",05/10/2023
"How long was the trip to Paris, France?",5.0 days
"What nationality was the traveler to Paris, France?",American
"What type of accommodation was used in Paris, France?",Hotel
"How much did the accommodation cost in Paris, France?",1500 €
"What transportation was used to reach Paris, France?",Flight
"What was the transportation cost to Paris, France?",800 €
"What was the total budget for the trip to Paris, France?",2300.0 € (Transport: 800 € + Accommodation: 1500 €)
What is the destination of the trip starting on 20/11/2023?,"Sydney, Australia"
"When did the trip to Sydney, Australia start?",20/11/2023
"How long was the trip to Sydney, Australia?",10.0 days
"What nationality was the traveler to Sydney, Australia?",Australian
"What type of accommodation was used in Sydney, Australia?",Hostel
"How much did the accommodation cost in Sydney, Australia?",500 €
"What transportation was used to reach Sydney, Australia?",Flight
"What was the transportation cost to Sydney, Australia?",1200 €
"What was the total budget for the trip to Sydney, Australia?",1700.0 € (Transport: 1200 € + Accommodation: 500 €)
What is the destination of the trip starting on 05/01/2024?,"Rio de Janeiro, Brazil"
"When did the trip to Rio de Janeiro, Brazil start?",05/01/2024
"How long was the trip to Rio de Janeiro, Brazil?",7.0 days
"What nationality was the traveler to Rio de Janeiro, Brazil?",Brazilian
"What type of accommodation was used in Rio de Janeiro, Brazil?",Airbnb
"How much did the accommodation cost in Rio de Janeiro, Brazil?",900 €
"What transportation was used to reach Rio de Janeiro, Brazil?",Flight
"What was the transportation cost to Rio de Janeiro, Brazil?",600 €
"What was the total budget for the trip to Rio de Janeiro, Brazil?",1500.0 € (Transport: 600 € + Accommodation: 900 €)
What is the destination of the trip starting on 14/02/2024?,"Amsterdam, Netherlands"
"When did the trip to Amsterdam, Netherlands start?",14/02/2024
"How long was the trip to Amsterdam, Netherlands?",7.0 days
"What nationality was the traveler to Amsterdam, Netherlands?",Dutch
"What type of accommodation was used in Amsterdam, Netherlands?",Hotel
"How much did the accommodation cost in Amsterdam, Netherlands?",1200 €
"What transportation was used to reach Amsterdam, Netherlands?",Train
"What was the transportation cost to Amsterdam, Netherlands?",200 €
"What was the total budget for the trip to Amsterdam, Netherlands?",1400.0 € (Transport: 200 € + Accommodation: 1200 €)
What is the destination of the trip starting on 10/03/2024?,"Dubai, United Arab Emirates"
"When did the trip to Dubai, United Arab Emirates start?",10/03/2024
"How long was the trip to Dubai, United Arab Emirates?",7.0 days
